taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5378811	Micrandra sprucei (Müll.Arg.) R.E.Schult.	5378811	Micrandra sprucei (Müll.Arg.) R.E.Schult.	9	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Micrandra	5378802	Micrandra sprucei	5378811	NE
5651096	Sloanea zuliaensis Pittier	5651096	Sloanea zuliaensis Pittier	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Oxalidales	7224021	Elaeocarpaceae	2435	Sloanea	3152097	Sloanea zuliaensis	5651096	LC
7896277	Stachys elliptica Kunth	7896277	Stachys elliptica Kunth	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Stachys	2927228	Stachys elliptica	7896277	NE
8188925	Adenocalymma aspericarpum (A.H.Gentry) L.G.Lohmann	8188925	Adenocalymma aspericarpum (A.H.Gentry) L.G.Lohmann	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Bignoniaceae	6655	Adenocalymma	10767005	Adenocalymma aspericarpum	8188925	NE
2985372	Licania parvifructa Fanshawe & Maguire	2985372	Licania parvifructa Fanshawe & Maguire	14	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Chrysobalanaceae	9111	Licania	2985250	Licania parvifructa	2985372	LC
3188640	Clidemia D.Don	3188640	Clidemia D.Don	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Melastomataceae	6683	Clidemia	3188640			NE
3736386	Bacopa myriophylloides (Benth.) Wettst.	3736386	Bacopa myriophylloides (Benth.) Wettst.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Plantaginaceae	2420	Bacopa	3171166	Bacopa myriophylloides	3736386	NE
3764164	Pseudolmedia macrophylla Trécul	3764164	Pseudolmedia macrophylla Trécul	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Moraceae	6640	Pseudolmedia	2984542	Pseudolmedia macrophylla	3764164	NE
3784037	Matayba purgans (Poepp.) Radlk.	3784037	Matayba purgans (Poepp.) Radlk.	7	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Sapindaceae	6657	Matayba	3190011	Matayba purgans	3784037	LC
3784371	Matayba elegans Radlk.	3784371	Matayba elegans Radlk.	9	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Sapindaceae	6657	Matayba	3190011	Matayba elegans	3784371	LC
4024666	Campyloneurum fuscosquamatum Lellinger	4024666	Campyloneurum fuscosquamatum Lellinger	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Polypodiaceae	2368	Campyloneurum	7500358	Campyloneurum fuscosquamatum	4024666	NE
4147897	Axonopus anceps (Mez) Hitchc.	4147897	Axonopus anceps (Mez) Hitchc.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Axonopus	2705922	Axonopus anceps	4147897	NE
4183052	Ocotea sanariapensis Lasser	4183052	Ocotea sanariapensis Lasser	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Laurales	407	Lauraceae	6688	Ocotea	3034076	Ocotea sanariapensis	4183052	LC
5287277	Paepalanthus macarenensis Moldenke	5287277	Paepalanthus macarenensis Moldenke	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Eriocaulaceae	3741	Paepalanthus	8424714	Paepalanthus macarenensis	5287277	NE
5361926	Ficus americana Aubl.	5361926	Ficus americana Aubl.	48	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Moraceae	6640	Ficus	2984588	Ficus americana	5361926	LC
7250329	Sticta tomentosa (Swartz) Ach.	7250329	Sticta tomentosa (Swartz) Ach.	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Peltigerales	1055	Lobariaceae	8375	Sticta	2601351	Sticta tomentosa	7250329	NE
7304919	Piper cernuum Vell.	7304919	Piper cernuum Vell.	8	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Piperales	404	Piperaceae	6678	Piper	3075433	Piper cernuum	7304919	LC
2669374	Lepidopilum affine C.Müller, 1848	2669374	Lepidopilum affine C.Müller, 1848	1	SPECIES	ACCEPTED	Plantae	6	Bryophyta	35	Bryopsida	327	Hookeriales	1339	Daltoniaceae	4649	Lepidopilum	2669371	Lepidopilum affine	2669374	NE
2688906	Lejeunea flava (Sw.) Nees	2688906	Lejeunea flava (Sw.) Nees	1	SPECIES	ACCEPTED	Plantae	6	Marchantiophyta	9	Jungermanniopsida	126	Porellales	377	Lejeuneaceae	6118	Lejeunea	2688902	Lejeunea flava	2688906	NE
2734435	Chamaedorea pinnatifrons (Jacq.) Oerst.	2734435	Chamaedorea pinnatifrons (Jacq.) Oerst.	20	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Arecales	552	Arecaceae	7681	Chamaedorea	2734376	Chamaedorea pinnatifrons	2734435	LC
2884675	Pouteria cuspidata (A.DC.) Baehni	2884675	Pouteria cuspidata (A.DC.) Baehni	10	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Sapotaceae	8802	Pouteria	2884049	Pouteria cuspidata	2884675	LC
2985091	Hirtella hispidula Miq.	2985091	Hirtella hispidula Miq.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Chrysobalanaceae	9111	Hirtella	2944960	Hirtella hispidula	2985091	LC
3084014	Phytolacca rivinoides Kunth & Bouché	3084014	Phytolacca rivinoides Kunth & Bouché	10	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Phytolaccaceae	2516	Phytolacca	3084013	Phytolacca rivinoides	3084014	NE
3190382	Ruta graveolens L.	3190382	Ruta graveolens L.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Rutaceae	2396	Ruta	3190380	Ruta graveolens	3190382	NE
3790437	Sticherus furcatus (L.) Ching	3790437	Sticherus furcatus (L.) Ching	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Gleicheniales	7229400	Gleicheniaceae	6621	Sticherus	7392014	Sticherus furcatus	3790437	NE
3830581	Cissampelos andromorpha DC.	3830581	Cissampelos andromorpha DC.	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Menispermaceae	2411	Cissampelos	3033936	Cissampelos andromorpha	3830581	NE
3851379	Trichilia cipo (A.Juss.) C.DC.	3851379	Trichilia cipo (A.Juss.) C.DC.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Meliaceae	2397	Trichilia	3190490	Trichilia cipo	3851379	LC
