Entity,Code,Day,Computation used in training AI systems (petaFLOPs),Year,Domain
TransE,,2013-12-05,1300,-2218,Other
Transformer,,2017-06-12,7400,-933,Language
Transformer local-attention (NesT-B),,2021-05-26,24000,511,Other
Turing NLG,,2020-02-13,16000000,43,Language
VGG16,,2014-09-04,8500,-1945,Vision
Variational Autoencoders,,2013-12-20,0.48,-2203,Other
ViT-G/14,,2021-06-08,3400000,524,Vision
ViT-H/14,,2020-09-28,13000000,271,Other
Visualizing CNNs,,2013-11-12,530,-2241,Vision
Word2Vec (large),,2013-10-16,39,-2268,Language
Xception,,2016-10-07,44000,-1181,Vision
YOLOv3,,2018-04-08,51000,-633,Vision
Yuan 1.0,,2021-11-10,410000000,679,Language
Zip CNN,,1989-12-01,0.000043,-10988,Vision
iGPT-L,,2020-06-17,8900000,168,Drawing
iGPT-XL,,2020-06-17,33000000,168,Drawing
wave2vec 2.0 LARGE,,2020-10-22,430000,295,Speech
